,predicted_mean
9471,2.1999999999999997
9472,2.1999999999999997
9473,2.1999999999999997
9474,2.1999999999999997
9475,2.1999999999999997
9476,2.1999999999999997
9477,2.1999999999999997
9478,2.1999999999999997
9479,2.1999999999999997
9480,2.1999999999999997
9481,2.1999999999999997
9482,2.1999999999999997
9483,2.1999999999999997
9484,2.1999999999999997
9485,2.1999999999999997
9486,2.1999999999999997
9487,2.1999999999999997
9488,2.1999999999999997
9489,2.1999999999999997
9490,2.1999999999999997
9491,2.1999999999999997
9492,2.1999999999999997
9493,2.1999999999999997
9494,2.1999999999999997
9495,2.1999999999999997
9496,2.1999999999999997
9497,2.1999999999999997
9498,2.1999999999999997
9499,2.1999999999999997
9500,2.1999999999999997
